"Gene","Loading"
"1459141_at",-0.017685267676794
"1423959_at",-0.017506228193419
"1415840_at",-0.0170400521575123
"1429681_a_at",-0.0168812580184543
"1418547_at",-0.016843772177671
"1451457_at",-0.0167875860698473
"1428082_at",-0.0167277310333817
"1437993_x_at",-0.0165524230903207
"1422432_at",-0.0163622273670802
"1451666_at",-0.0162885934156327
"1422478_a_at",-0.0162878609042054
"1448169_at",-0.0162660205440129
"1422479_at",-0.0160274235384055
"1427893_a_at",-0.0160021836551587
"1439459_x_at",-0.0159861779866517
"1422185_a_at",-0.0159271070377629
"1442510_at",-0.0157278770197451
"1425326_at",-0.0156853957009862
"1416257_at",-0.015645035643719
"1417399_at",-0.0156440873547958
"1417828_at",-0.0155583237944458
"1417777_at",-0.015547687862317
"1433991_x_at",-0.0155368340313306
"1437211_x_at",-0.015535425429065
"1423664_at",-0.0154684274573041
"1435989_x_at",-0.0154666924861457
"1438322_x_at",-0.0154429891672063
"1448619_at",-0.0154281817652312
"1416667_at",-0.015406066114664
"1416021_a_at",-0.0153722346542826
"1448465_at",-0.0153576829473728
"1442031_at",-0.015310923562216
"1455976_x_at",-0.015238994049262
"1422186_s_at",-0.0152305654463083
"1418760_at",-0.0152243544907738
"1450705_at",-0.0152194225548371
"1449209_a_at",-0.0152166012092885
"1425177_at",-0.0151758948139213
"1448754_at",-0.0151508032835213
"1434276_x_at",-0.0151381049928199
"1427878_at",-0.0151077721763362
"1447151_at",0.0150795629005769
"1422537_a_at",-0.0150777870215474
"1416762_at",-0.0150714820719831
"1417969_at",0.0150627184884835
"1421217_a_at",-0.0149980783673566
"1451377_a_at",-0.0149450205737
"1417689_a_at",-0.0149276039610844
"1458082_at",0.0149261327630467
"1425567_a_at",-0.0148765046921614
"1423423_at",-0.0148682490343875
"1416022_at",-0.0148667251481672
"1422433_s_at",-0.0148627100783491
"1457093_at",0.0148216222912775
"1456626_a_at",-0.0148195146931226
"1455405_at",-0.0147778779467131
"1418957_at",0.0147540872295209
"1421411_at",-0.0147408715274413
"1416608_a_at",-0.0147337452251781
"1456642_x_at",-0.0147128956809568
"1418724_at",-0.0147010902648029
"1449116_a_at",-0.0146663324307249
"1450984_at",-0.0146645201977533
"1437342_x_at",-0.0146546486868099
"1423691_x_at",-0.0146303003762463
"1449254_at",-0.014567390880693
"1435176_a_at",-0.0145423496455135
"1417531_at",-0.0145398298652072
"1438627_x_at",-0.0145360030682281
"1428679_s_at",-0.0145286331085556
"1437852_x_at",-0.0145281717407969
"1426612_at",-0.0145217454965701
"1428151_x_at",-0.0145145809054486
"1452923_at",-0.0144603972133912
"1427440_a_at",-0.0144415003936875
"1418737_at",-0.0144239384922158
"1416750_at",-0.0144201337405508
"1416036_at",-0.0144113936207704
"1423418_at",-0.014408894825703
"1418914_s_at",-0.014373633811079
"1425202_a_at",-0.0143715724562025
"1426261_s_at",-0.0143417838644226
"1429570_at",-0.0143315851985116
"1452124_at",-0.0143262138766491
"1416497_at",-0.01430115078544
"1424769_s_at",-0.0142941092863565
"1448037_at",-0.0142602985672123
"1426389_at",-0.0142575124007608
"1421382_at",-0.0142438209272631
